ticket_number,subject,description,department,category,priority,ward,is_spam,submit_count,created_at,resolution_hours,sla_breached,status
CMP-642065,Test,"Hello world, test 1 2 3.",general,spam,low,Ward 3,1,11,2026-05-11T10:13:40.499022,0.0,0,rejected
CMP-565861,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 10,0,2,2026-04-24T22:19:40.499022,42.3,0,resolved
CMP-271075,Potholes on road,Huge potholes have formed on the main road in Ward 5. Multiple two-wheelers have skidded today.,roads,roads,low,Ward 5,0,2,2026-04-27T23:54:40.499022,172.18,1,resolved
CMP-431304,Promotional Alert,Earn $5000 a day working from home! Click here: www.fakeurl.com/money,general,spam,low,Ward 4,1,5,2026-04-27T15:48:40.499022,0.0,0,rejected
CMP-418676,Loudspeaker noise pollution,Loud music is being played at high volume after midnight from the party hall near Ward 10 hospital.,general,general,low,Ward 10,0,1,2026-05-29T10:12:40.499022,58.76,0,resolved
CMP-788777,Contaminated water,The drinking water supplied today is yellow and smells like drainage. It is completely unfit for consumption.,water,water,medium,Ward 5,0,1,2026-05-07T21:00:40.499022,11.96,0,resolved
CMP-598163,Streetlights broken,"None of the streetlights are working in our lane in Ward 2, making it extremely dark and unsafe at night.",electricity,electricity,low,Ward 2,0,2,2026-04-05T23:06:40.499022,6.59,0,resolved
CMP-652748,Property registration link,Unable to link my property tax ID to my mobile number on the municipal portal.,property_tax,property_tax,low,Ward 9,0,2,2026-05-30T07:04:40.499022,67.9,0,resolved
CMP-140556,Traffic light malfunction,The traffic lights at the main crossing are flashing yellow and causing traffic jams.,roads,roads,medium,Ward 2,0,1,2026-04-26T08:35:40.499022,114.34,1,resolved
CMP-469321,Double payment charge,I paid my electricity bill through the portal. The money was debited twice but the status is still unpaid.,billing,billing,low,Ward 1,0,2,2026-05-14T00:32:40.499022,18.94,0,resolved
CMP-145593,Tax assessment error,My house tax assessment shows double the square footage of my actual property. Need correction.,property_tax,property_tax,low,Ward 10,0,1,2026-04-14T21:14:40.499022,109.51,0,rejected
CMP-638239,Tax assessment error,My house tax assessment shows double the square footage of my actual property. Need correction.,property_tax,property_tax,low,Ward 5,0,1,2026-05-21T18:51:40.499022,48.86,0,resolved
CMP-733583,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 4,0,1,2026-05-26T00:47:40.499022,98.03,0,resolved
CMP-857151,Transformer sparking,The electric transformer near the local market is sparking and emitting smoke. It could catch fire.,electricity,electricity,critical,Ward 6,0,2,2026-04-14T18:11:40.499022,1.57,0,resolved
CMP-469111,Open manhole,A deep sewer manhole is lying open on the middle of the road. This is a death trap for drivers.,roads,roads,low,Ward 10,0,1,2026-04-07T12:07:40.499022,192.46,1,resolved
CMP-929249,Tax assessment error,My house tax assessment shows double the square footage of my actual property. Need correction.,property_tax,property_tax,low,Ward 9,0,1,2026-04-12T04:55:40.499022,87.77,0,resolved
CMP-686011,No garbage collection,The municipal waste collection truck has skipped our sector for the last four days.,sanitation,sanitation,low,Ward 6,0,2,2026-05-26T07:59:40.499022,34.77,0,rejected
CMP-970000,Broken footpath,The pedestrian footpath is completely broken and blocked by debris near Ward 3 metro station.,roads,roads,medium,Ward 3,0,1,2026-05-31T09:06:40.499022,110.2,1,resolved
CMP-631332,Incorrect tax rebate,The senior citizen tax discount was not applied to my online tax calculation.,property_tax,property_tax,low,Ward 2,0,1,2026-04-09T11:39:40.499022,73.68,0,resolved
CMP-555763,Loudspeaker noise pollution,Loud music is being played at high volume after midnight from the party hall near Ward 2 hospital.,general,general,low,Ward 2,0,1,2026-05-21T03:09:40.499022,76.28,0,resolved
CMP-432719,Street vendor encroachment,Street vendors have blocked the entire entrance gate of our society in Ward 7.,general,general,low,Ward 7,0,1,2026-04-20T06:56:40.499022,128.88,1,resolved
